food,Carbohydrates,Sugars
cream cheese,0.8,0.5
neufchatel cheese,3.1,2.7
requeijao cremoso light catupiry,0.9,3.4
ricotta cheese,1.5,0.091
cream cheese low fat,1.2,0.9
cream cheese fat free,1.4,1
gruyere cheese,0.1,0.1
cheddar cheese,0.9,0.1
parmesan cheese,0.6,0.046
romano cheese,0.2,0.088
parmesan cheese grated,0.7,0.075
port salut cheese,0.8,0.8
swiss cheese,0.4,0
goat cheese hard,0.6,0.6
gouda cheese,0.6,0.6
pepper jack cheese lucerne,0,0
caraway cheese,0.9,0
gjetost cheese,96.8,0
tilsit cheese,0.8,0
goat cheese,0.009,0.031
brick cheese,0.8,0.2
asadero cheese,3.2,3.2
camembert cheese,0.1,0.1
provolone cheese reduced fat,4,0.6
roquefort cheese,1.7,0
queso blanco cheese,3,2.1
queso seco cheese,2,0.5
goat cheese soft,0,0.3
mozzarella cheese,0.7,0
chihuahua cheese,7.3,7.3
limburger cheese,0.1,0.1
muenster cheese,1.5,1.5
queso fresco cheese,3.6,2.8
brie cheese,0.1,0.1
pimento cheese,2.4,0.9
mexican cheese,3.8,0.6
feta cheese,1.2,0
mozzarella cheese fat free,4,1.7
provolone cheese,2.8,0.7
anejo cheese,6.1,6.1
honey,17.3,17.2
apple butter,8.5,7.1
fruit jam,13.8,9.7
chocolate hazelnut spread,11.5,10
peanut butter,3.6,1
peanut spread,2.2,0.5
chicken spread,2.3,0.3
cheese spread,8.4,8.4
tahini,3.9,0
orange marmalade,13.3,12
american cheese spread,1.4,1.2
apricot jam,12.9,8.7
chunky peanut butter,3.5,1.3
ham and cheese spread,0.3,0
chicken and rice casserole homade,2.4,0
picnic loaf,1.3,0
corn tamale,44.3,12.3
baked potato with cheese sauce bacon,44.4,0
chinese egg roll,24.3,0
butter croissant,26.1,6.4
enchilada with cheese beef,30.5,0
corned beef hash with potatoes,21.9,0.8
biscuit with egg cheese bacon,35.4,2.5
bagel with ham egg cheese,52.4,7
quesadilla with chicken,43.3,3.4
corn rice,25.2,3
kung pao chicken,41.5,18.3
beef empanada,27.8,1.6
frijoles with cheese,28.7,0
burrito with beef,43.9,4.1
crispy chicken sandwich,33.2,3.9
enchilada with cheese,21.2,3.6
pork egg roll,25.1,4.5
corn on the cob with butter,31.9,0
pancakes with butter syrup,45.4,0
burrito with beans,35.7,0
scrambled eggs,1,0.8
baked potato with sour cream,50,0
turkey and gravy,11.1,0
chicken egg roll,22.8,4.5
vegetable egg roll,25,5.3
ham cheese roll,1.1,0
biscuit with ham,43.8,2.2
lemon chicken,122,55.2
hummus,49.5,0.7
croissant with egg cheese,24.3,0
enchirito with cheese beef beans,33.8,0
sweet sour pork,3.3,1.4
crab cake,5.1,0
egg dinner roll,18.2,1.5
english muffin with egg cheese sausage,28.8,2.5
buttermilk pancakes,10.9,0
omelet,0.4,0.2
taco with chicken cheese lettuce,19.3,1.3
spinach souffle,8,2.5
english muffin with cheese sausage,27.3,2.1
potato gratin,27.6,0
biscuit with egg,35.4,2.5
french fries deep fried,29.4,0.2
sweet sour chicken,4.4,2.1
burrito with beans beef,47,5.3
nachos with cinnamon sugar,63.4,0
arroz con grandules,35.4,0
chili con carne,33.1,4.7
arroz con abichuelas,37.3,0.2
biscuit with sausage,33.3,1.8
vegetarian stew,17.3,3.1
chicken sandwich with cheese,41.6,0
biscuit with egg steak,21.3,0
taco salad,17.9,0
succotash,46.8,0
nachos with cheese jalapeno peppers,60.1,0
biscuit with egg ham,31.4,4.2
ladyfingers,16.9,7.2
mozzarella steak fried,7.7,0.7
tamale navajo,33.7,1.8
blueberry pancakes,11,0
chimichanga with beef cheese,39.3,0
egg cheese sandwich,25.9,0
biscuit with egg bacon,28.6,3.3
pupusas con queso,26.2,1.4
apple croissant,21.1,0
refried red beans,36,0
tostada with guacamole,16,0
chicken sandwich,39.1,6.8
fried rice,43.4,0.6
pupusas del cerdo,28.1,1.8
turkey pot pie,70.3,0
cheese croissant,37.6,9.1
chimichanga with beef,42.8,0
french toast with butter,18,0
ham egg cheese sandwich,30.9,0
english muffin with butter,30.4,0
savoury noodle one pan dinner tandaco,5.5,0
ham cheese sandwich,33.3,0
sweet gefilte fish,3.1,0
poached egg,0.4,0.2
tostada with beef cheese,22.8,0
tostada with beans cheese,26.5,0
pork tamale,22.4,0.7
nachos with cheese,27.9,1.7
pulled pork in barbecue sauce,46.7,37.8
baked potato with cheese sauce,46.5,0
baked beans,43.3,0
arroz con frijoles,35.6,1.3
taco with beef cheese lettuce,13.7,0.6
burrito with beans cheese beef,19.8,0
egg mix,0.098,0.091
falafel,5.4,0
taco salad with chili con carne,17.7,0
wonton wrappers,18.5,0
hushpuppies,69.9,3.1
chicken pot pie,57.3,7.2
general tsos chicken,128.3,62.1
burrito with beans cheese,57.8,3.2
vegetarian fillets,7.7,0.7
biscuit with egg sausage,34.1,1.5
chicken chow mein,50.1,10.5
fruit burrito,35,0
arroz con leche,63,38.6
caramel custard flan,69.7,70.8
gelatin dessert,38.3,36.4
chocolate milk dessert,51.6,51.6
chocolate mousse,24.1,22.2
dulce de leche,10.5,9.5
apple crisp,87,55.5
spinach spaghetti cooked,36.6,0
corn pasta cooked,39.1,0
spaghetti with meat sauce,43.1,7.4
pasta with meatballs in tomato sauce,28.3,7.2
cheese tortellini,50.8,1
pasta with sliced franks in tomato sauce,32,8
lasagna,18.9,3.8
macaroni cheese,43.7,3
vegetable lasagna,32.2,5.8
spinach egg noodles cooked,38.8,1.1
cheese lasagna,33.6,10.3
pasta with tomato sauce,35.1,10.1
spinach pasta cooked,7.1,0
vegetable chicken soup,21.1,3.4
bean ham soup,33.5,7.8
cream of chicken soup,18,1.4
tomato soup canned,22.6,16.5
egg drop soup,10.3,0.2
scotch broth,23,0
cream of onion soup,31.7,11.1
chicken broth dry,1.1,0
vegetable soup with beef broth,26.3,4
chili with beans canned,30.5,3
beef noodle soup,17.9,5.2
consomme dry,1.9,1.1
chicken mushroom soup,15.1,1
beef vegetable soup,15.4,3.1
black bean soup,39.6,6.4
split pea soup with ham bacon,28.6,0
cream of mushroom soup,17.1,1
green pea soup,51.7,16.7
chicken broth soup,1.9,0.9
chicken mushroom chowder soup,38.3,0
chicken dumplings soup,14.7,1.4
chicken vegetable soup,17,3
turkey vegetable soup,8.6,2.6
wonton soup,11.7,0.8
beef stock,2.9,1.3
mushroom barley soup,29.3,0
gazpacho soup,6.6,2.2
beef mushroom soup,15.9,0
chicken rice soup,13,1.4
pepperpot soup,9.1,0
vegetable soup,24.6,7.9
chili beef soup,49.6,13.4
chicken soup,16.9,2.1
bean with frankfurters soup,22,0
pea soup,25.6,8.3
turkey soup,14.1,0
stockpot soup,23.1,0
hot sour soup,10.1,1
cheese soup,28,9.3
cream of potato soup,32.2,3.6
bean with bacon soup,16.4,0.6
fish stock,0,0
split pea soup with ham,56.2,0
beef broth soup,0.01,0
lentil soup with ham,20.2,0
tomato soup,22.5,12.2
fish broth,1,0.2
chili without beans canned,14.6,0
minestrone soup,22.6,3.7
clam chowder soup,24.5,6.8
tomato vegetable soup,9.9,2.4
cream of rice coup,28.1,0.022
