food,Dietary Fiber,Cholesterol
cream cheese,0,14.6
neufchatel cheese,0,62.9
requeijao cremoso light catupiry,0.1,0
ricotta cheese,0,9.8
cream cheese low fat,0,8.1
cream cheese fat free,0,2.2
gruyere cheese,0,30.8
cheddar cheese,0,27.7
parmesan cheese,0,12.2
romano cheese,0,5.2
parmesan cheese grated,0,4.3
port salut cheese,0,162.4
swiss cheese,0,23.3
goat cheese hard,0,29.7
gouda cheese,0,31.9
pepper jack cheese lucerne,2.5,0
caraway cheese,0,26.3
gjetost cheese,0,213.4
tilsit cheese,0,40.8
goat cheese,0,22.4
brick cheese,0,28.2
asadero cheese,0,118.7
camembert cheese,0,21.6
provolone cheese reduced fat,0,62.2
roquefort cheese,0,76.5
queso blanco cheese,0,82.6
queso seco cheese,0,75.7
goat cheese soft,0,13
mozzarella cheese,0,23.7
chihuahua cheese,0,138.6
limburger cheese,0,27
muenster cheese,0,126.7
queso fresco cheese,0,84.2
brie cheese,0,30
pimento cheese,0.1,131.6
mexican cheese,0,69.4
feta cheese,0,26.7
mozzarella cheese fat free,2,20.3
provolone cheese,0,91.1
anejo cheese,0,138.6
honey,0.025,0
apple butter,0.3,0
fruit jam,0.2,0
chocolate hazelnut spread,1,0
peanut butter,0.9,0
peanut spread,1.2,0
chicken spread,0.2,31.4
cheese spread,0,216
tahini,1.4,0
orange marmalade,0.1,0
american cheese spread,0,8.8
apricot jam,0.044,0
chunky peanut butter,1.3,0
ham and cheese spread,0,9.2
chicken and rice casserole homade,0.3,0
picnic loaf,0,10.6
corn tamale,5.3,0
baked potato with cheese sauce bacon,0,29.9
chinese egg roll,2.3,14.2
butter croissant,1.5,38.2
enchilada with cheese beef,0,40.3
corned beef hash with potatoes,2.6,75.5
biscuit with egg cheese bacon,0.3,240.7
bagel with ham egg cheese,0.4,242.6
quesadilla with chicken,3.1,66.6
corn rice,0.4,0
kung pao chicken,9.1,157
beef empanada,1.8,23.1
frijoles with cheese,0,36.7
burrito with beef,4.4,2.6
crispy chicken sandwich,0,0
enchilada with cheese,2.6,57.5
pork egg roll,1.8,11.9
corn on the cob with butter,0,5.8
pancakes with butter syrup,0,29
burrito with beans,0,2.2
scrambled eggs,0,200.2
baked potato with sour cream,0,24.2
turkey and gravy,0,43.2
chicken egg roll,1.9,11.2
vegetable egg roll,2.2,0
ham cheese roll,0,16.2
biscuit with ham,0.8,24.9
lemon chicken,7,203.8
hummus,9.8,0
croissant with egg cheese,0,215.9
enchirito with cheese beef beans,0,50.2
sweet sour pork,0.1,3.4
crab cake,0.2,82.2
egg dinner roll,1.3,17.5
english muffin with egg cheese sausage,0.3,269
buttermilk pancakes,0,22
omelet,0,190.9
taco with chicken cheese lettuce,1.2,28.4
spinach souffle,1,160.5
english muffin with cheese sausage,0.5,46.4
potato gratin,4.4,56.4
biscuit with egg,0.3,240.7
french fries deep fried,2.7,0
sweet sour chicken,0.2,4.9
burrito with beans beef,7.2,62.7
nachos with cinnamon sugar,0,39.2
arroz con grandules,1.6,0
chili con carne,8.3,22.8
arroz con abichuelas,4.1,0
biscuit with sausage,0.4,31.1
vegetarian stew,2.7,0
chicken sandwich with cheese,0,77.5
biscuit with egg steak,0,272.3
taco salad,0,33
succotash,0,0
nachos with cheese jalapeno peppers,0,83.6
biscuit with egg ham,0.8,299.5
ladyfingers,0.3,62.5
