food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
cream cheese,5,2.9,1.3,0.2
neufchatel cheese,19.4,10.9,4.9,0.8
requeijao cremoso light catupiry,3.6,2.3,0.9,0
ricotta cheese,2,1.3,0.5,0.002
cream cheese low fat,2.3,1.4,0.6,0.042
cream cheese fat free,0.2,0.1,0.091,0.075
gruyere cheese,9.1,5.3,2.8,0.5
cheddar cheese,9.3,5.3,2.6,0.3
parmesan cheese,4.5,2.7,1.4,0.1
romano cheese,1.3,0.9,0.4,0.035
parmesan cheese grated,1.4,0.8,0.4,0.036
port salut cheese,37.2,22,12.3,1
swiss cheese,7.7,4.6,2,0.3
goat cheese hard,10.1,7,2.3,0.2
gouda cheese,7.7,4.9,2.2,0.2
pepper jack cheese lucerne,6,4,0,0
caraway cheese,8.3,5.3,2.3,0.2
gjetost cheese,67,43.5,17.9,2.1
tilsit cheese,10.4,6.7,2.9,0.3
goat cheese,8.4,5.8,1.9,0.2
brick cheese,8.9,5.6,2.6,0.2
asadero cheese,31.9,20.3,9.1,1
camembert cheese,7.3,4.6,2.1,0.2
provolone cheese reduced fat,19.9,12.8,5.5,0.6
roquefort cheese,26,16.4,7.2,1.1
queso blanco cheese,28.7,16.1,7.6,1.4
queso seco cheese,23.6,13.3,6.2,1.2
goat cheese soft,6,4.1,1.4,0.1
mozzarella cheese,6.6,4.2,2,0.2
chihuahua cheese,39.2,24.9,11.1,1.2
limburger cheese,8.2,5,2.6,0.1
muenster cheese,39.7,25.2,11.5,0.9
queso fresco cheese,29.1,15.8,7.3,1.3
brie cheese,8.3,5.2,2.4,0.2
pimento cheese,43.7,27.5,12.5,1.4
mexican cheese,21.7,13,5.6,0.8
feta cheese,6.4,4,1.4,0.2
mozzarella cheese fat free,0,0,0,0
provolone cheese,35.1,22.5,9.8,1
anejo cheese,39.6,25.1,11.3,1.2
honey,0,0,0,0
apple butter,0.063,0.038,0.066,0.064
fruit jam,0.095,0.021,0.065,0
chocolate hazelnut spread,5.5,5.3,0,0
peanut butter,7.4,1.4,3.1,1.7
peanut spread,8.5,1.6,4.2,2.5
chicken spread,9.8,1.8,2.7,1.3
cheese spread,68.6,43.2,19.4,2.5
tahini,7.2,1,2.7,3.2
orange marmalade,0,0,0,0
american cheese spread,3.4,2.1,1,0.062
apricot jam,0.01,0.042,0,0
chunky peanut butter,8,1.2,3.7,2.2
ham and cheese spread,2.8,1.3,1.1,0.2
chicken and rice casserole homade,1,0,0,0
picnic loaf,4.7,1.7,2.2,0.5
corn tamale,12,4.4,4,2.6
baked potato with cheese sauce bacon,25.9,10.1,9.7,4.8
chinese egg roll,10.6,1.9,2.7,5
butter croissant,12,6.6,3.1,0.6
