food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
cream cheese,0.016,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039
neufchatel cheese,0.3,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7
requeijao cremoso light catupiry,0,0,0,0,0,0,0,0,0,0
ricotta cheese,0.017,0.097,41.2,0.097,0.096,4,0.024,30.8,43.8,0.035
cream cheese low fat,0.046,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053
cream cheese fat free,0.1,63.2,0.039,0.053,4,0.028,94.1,50,0.013,0.3
gruyere cheese,0.2,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1
cheddar cheese,0.2,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1
parmesan cheese,0.2,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5
romano cheese,0.008,53.2,0.046,0.03,2.1,0.002,38,4.3,0.087,0.1
parmesan cheese grated,0.043,0.012,42.7,0.094,0.094,1.7,0.026,31.4,9,0.038
port salut cheese,0.7,858,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4
swiss cheese,0.057,222.5,0.026,0.024,8.3,0.062,143.5,18,0.031,1.1
goat cheese hard,0.076,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4
gouda cheese,0.2,196,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1
pepper jack cheese lucerne,0,0,0,0,0,0,0,0,0,0
caraway cheese,0.2,190.5,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8
gjetost cheese,1.4,908,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6
tilsit cheese,0.3,280,0.033,0.01,5.2,0.086,200,26,0.026,1.4
goat cheese,0.1,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2
brick cheese,0.2,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8
asadero cheese,0.7,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4
camembert cheese,0.3,116.4,0.046,0.063,6,0.075,104.1,56.1,0.035,0.7
