food,Nutrition Density
cream cheese,7.07
neufchatel cheese,130.1
requeijao cremoso light catupiry,5.4
ricotta cheese,5.196
cream cheese low fat,27.007
cream cheese fat free,67.679
gruyere cheese,300.694
cheddar cheese,215.53
parmesan cheese,224.777
romano cheese,56.38
parmesan cheese grated,3.745
port salut cheese,928.4
swiss cheese,237.396
goat cheese hard,273.2
gouda cheese,211.424
pepper jack cheese lucerne,13.5
caraway cheese,207.072
gjetost cheese,1095.7
tilsit cheese,301.069
goat cheese,99.494
brick cheese,219.002
asadero cheese,808.175
camembert cheese,129.826
provolone cheese reduced fat,906.9
roquefort cheese,609.4
queso blanco cheese,870.3
queso seco cheese,691
goat cheese soft,51.311
mozzarella cheese,165.648
chihuahua cheese,934.983
limburger cheese,163.575
muenster cheese,1019.4
queso fresco cheese,745.8
brie cheese,70.096
pimento cheese,940.9
mexican cheese,1337
feta cheese,160.058
mozzarella cheese fat free,1128.2
provolone cheese,1070.6
anejo cheese,972.205
honey,18.892
apple butter,11.836
fruit jam,19.919
chocolate hazelnut spread,39.8
peanut butter,15.268
peanut spread,27.3
chicken spread,31.972
cheese spread,267.8
tahini,78.6
orange marmalade,22.119
american cheese spread,97.357
apricot jam,18.91
chunky peanut butter,24.1
ham and cheese spread,38.238
chicken and rice casserole homade,5.7
picnic loaf,23.7
corn tamale,108.1
baked potato with cheese sauce bacon,428.7
chinese egg roll,81.5
butter croissant,66.8
enchilada with cheese beef,292.933
corned beef hash with potatoes,118.6
biscuit with egg cheese bacon,230.2
bagel with ham egg cheese,287.6
quesadilla with chicken,588.7
corn rice,51.9
kung pao chicken,320.1
beef empanada,76.2
frijoles with cheese,240.305
burrito with beef,65.89
crispy chicken sandwich,114.1
enchilada with cheese,65.6
pork egg roll,96.5
corn on the cob with butter,52.078
pancakes with butter syrup,123.319
burrito with beans,109.1
scrambled eggs,44.726
baked potato with sour cream,221.8
turkey and gravy,67.374
chicken egg roll,84.75
vegetable egg roll,84.1
ham cheese roll,26.6
biscuit with ham,239.732
lemon chicken,545.212
hummus,236.1
croissant with egg cheese,307.9
enchirito with cheese beef beans,292.984
sweet sour pork,13.977
crab cake,230.596
egg dinner roll,46.913
english muffin with egg cheese sausage,362.7
buttermilk pancakes,77.568
omelet,14.377
taco with chicken cheese lettuce,161.153
spinach souffle,273.4
english muffin with cheese sausage,294.696
potato gratin,380.7
biscuit with egg,230.3
french fries deep fried,45.364
sweet sour chicken,17.773
burrito with beans beef,326.183
nachos with cinnamon sugar,202.5
arroz con grandules,56.2
chili con carne,66.245
arroz con abichuelas,78.5
biscuit with sausage,125.8
vegetarian stew,149.2
chicken sandwich with cheese,374.2
biscuit with egg steak,210.8
taco salad,189
succotash,109.2
nachos with cheese jalapeno peppers,735
biscuit with egg ham,305.1
ladyfingers,38.1
mozzarella steak fried,126.963
tamale navajo,122
blueberry pancakes,96.631
chimichanga with beef cheese,327.3
egg cheese sandwich,290.4
biscuit with egg bacon,272.958
pupusas con queso,439.9
apple croissant,49.733
refried red beans,156.2
tostada with guacamole,247.853
chicken sandwich,94.051
fried rice,75.203
pupusas del cerdo,119.087
turkey pot pie,139.4
cheese croissant,108.3
chimichanga with beef,153.9
french toast with butter,70.093
ham egg cheese sandwich,284
english muffin with butter,146.209
savoury noodle one pan dinner tandaco,6.7
ham cheese sandwich,205.416
sweet gefilte fish,18.677
poached egg,40.398
tostada with beef cheese,280.498
tostada with beans cheese,259.467
pork tamale,156.766
nachos with cheese,51.581
pulled pork in barbecue sauce,206.7
baked potato with cheese sauce,429.9
baked beans,76.2
arroz con frijoles,109.3
taco with beef cheese lettuce,93.825
burrito with beans cheese beef,103.1
egg mix,4.876
falafel,10.763
taco salad with chili con carne,205.9
wonton wrappers,38.815
hushpuppies,533.994
chicken pot pie,177.7
general tsos chicken,368.673
burrito with beans cheese,324.946
vegetarian fillets,130.3
biscuit with egg sausage,171.757
chicken chow mein,256.797
fruit burrito,64.3
arroz con leche,310
caramel custard flan,351.2
gelatin dessert,49.792
chocolate milk dessert,270.99
chocolate mousse,200.4
dulce de leche,61.415
apple crisp,212.724
spinach spaghetti cooked,87.4
corn pasta cooked,52.3
spaghetti with meat sauce,135.1
pasta with meatballs in tomato sauce,100.474
cheese tortellini,241.181
pasta with sliced franks in tomato sauce,216.154
lasagna,36.675
macaroni cheese,68.319
vegetable lasagna,410.066
spinach egg noodles cooked,85.297
cheese lasagna,381.08
pasta with tomato sauce,45.091
spinach pasta cooked,14.201
vegetable chicken soup,72.737
bean ham soup,154.4
cream of chicken soup,76.9
tomato soup canned,224.932
egg drop soup,48.808
scotch broth,84.4
cream of onion soup,139.473
chicken broth dry,11.198
vegetable soup with beef broth,80.5
chili with beans canned,204
beef noodle soup,68.232
consomme dry,17.2
chicken mushroom soup,57.171
beef vegetable soup,84.9
black bean soup,167.3
split pea soup with ham bacon,49.5
cream of mushroom soup,66.404
green pea soup,145.005
chicken broth soup,31.7
chicken mushroom chowder soup,99.1
chicken dumplings soup,80.269
chicken vegetable soup,68.983
turkey vegetable soup,33
wonton soup,30.692
beef stock,27.6
mushroom barley soup,71.1
gazpacho soup,67.5
beef mushroom soup,52.1
chicken rice soup,68.818
pepperpot soup,49.1
vegetable soup,82.2
chili beef soup,77.607
chicken soup,64.716
bean with frankfurters soup,129.9
pea soup,76.26
turkey soup,86.6
stockpot soup,90.5
hot sour soup,65.954
cheese soup,135.1
cream of potato soup,88.202
bean with bacon soup,91.1
fish stock,14.488
split pea soup with ham,141.2
beef broth soup,18.049
lentil soup with ham,81.4
tomato soup,66.2
fish broth,81.193
chili without beans canned,130.8
minestrone soup,111.1
clam chowder soup,95.69
tomato vegetable soup,36.4
cream of rice coup,38.5
cream of celery soup,116.189
chicken gravy,80.872
tomato rice soup,134.933
vegetable beef soup,34.1
tomato beef noodle soup,100.1
oyster stew soup,72.8
ramen noodle soup dry,106.5
chicken noodle soup,33.513
chicken bouillon dry,9.502
cream of asparagus soup,100.43
turkey noodle soup,55.582
cream of shrimp soup,69.41
bean with pork soup,249.324
chicken broth,33.6
beef broth powder,3.739
split pea soup,91.6
escarole soup,95
chicken stock,25.696
tomato bisque soup,152.913
shark fin soup,43.2
onion soup,87.173
chicken gumbo soup,88.8
crab soup,120.3
tripe soup,75.9
little india little lunch,12.6
original chicken sandwich chick fil a,5.1
sausage mcmuffin mcdonalds,328.5
sausage mcgriddles mcdonalds,166
crispy chicken drumstick kentucky fried chicken,20.632
chicken crispy drumsticks kentucky fried chicken,41.248
biscuit kentucky fried chicken,68.5
english muffin mcdonalds,24.548
french fries mcdonalds,77.129
hotdog,109
french fries burger king,42.635
original taco with beef cheese lettuce taco bell,93.8
hotdog with chili,83.6
chicken crispy wings kentucky fried chicken,40.161
egg white delight mcdonalds,16
french toast sticks burger king,25.5
mcchicken mcdonalds,69.5
nachos supreme taco bell,241
crispy chicken wing kentucky fried chicken,32.851
chicken strips burger king,20.168
crispy chicken breast kentucky fried chicken,74.065
sausage biscuit mcdonalds,141.05
sausage burrito mcdonalds,261.627
onion rings fried,12.551
onion rings burger king,175.4
turkey patty fried,17.934
hotcakes with syrup mcdonalds,259.4
crispy chicken thigh kentucky fried chicken,49.591
corn dog,38.257
chicken box mcdonalds,9.7
potato wedges kentucky fried chicken,110.6
scrambled eggs mcdonalds,50.931
egg mcmuffin mcdonalds,58.5
nachos taco bell,156
biscuit large mcdonalds,132.022
crispy chicken strips kentucky fried chicken,35.9
hotcakes mcdonalds,68.2
chicken crispy breast kentucky fried chicken,103.428
hotcakes sausage mcdonalds,292.7
chicken mcnuggets mcdonalds,8.181
chips chipotle,9.4
biscuit mcdonalds,111.687
rice bowl with chicken,13.178
spaghetti with meatballs,45.656
meat ravioli canned,94.963
cheese ravioli canned,127.3
premium crispy chicken ranch blt sandwich mcdonalds,219.1
steak sandwich,198.9
cheeseburger burger king,201.6
cheeseburger mcdonalds,266
double cheeseburger,119.347
double hamburger,169.626
premium grilled chicken classic sandwich mcdonalds,167.718
big n tasty with cheese mcdonalds,339.7
premium grilled chicken club sandwich mcdonalds,328.1
quarter pounder mcdonalds,233.7
premium crispy chicken classic sandwich mcdonalds,196.9
veggie burger,128.9
quarter pounder with cheese mcdonalds,392.2
beef sandwich steak raw,32
cheeseburger,60.289
premium grilled chicken ranch blt sandwich mcdonalds,181.4
double whopper with cheese burger king,519.2
big mac mcdonalds,365.5
sandwich with cold cuts,166.871
filet o fish mcdonalds,235.3
hand breaded chicken tenders carls jr,3.1
grilled chicken sandwich wendys,8
sandwich with roast beef,135.393
hamburger burger king,54.28
big n tasty mcdonalds,257.7
roast beef sandwich,73.951
roast beef sandwich with cheese,283.72
hamburger,53.859
premium fish sandwich burger king,195.8
whopper burger king,405.8
sandwich with tuna salad,193.569
original chicken sandwich burger king,205.9
double whopper burger king,309.4
premium crispy chicken club sandwich mcdonalds,376.2
hamburger mcdonalds,52.357
pepperoni pizza dominos,226.5
sausage pizza,66.337
pepperoni pizza,64.836
pepperoni pizza pizza hut,206.086
cheese pizza pizza hut,256.272
cheese pizza,61.304
cheese pizza dominos,243.663
meat vegetable pizza,233.148
sucker raw,143.779
northern pike raw,321.946
haddock cooked,52.159
burbot cooked,81.891
pollock cooked,313.428
rainbow smelt raw,23.004
whitefish cooked,100.864
walleye pike raw,209.316
carp cooked,144.989
wolffish cooked,80.3
snapper cooked,118.742
roe cooked,23.609
anchovy raw,49.714
herring raw,157.898
cod raw,82.88
tilapia raw,37.5
whiting cooked,63.037
skipjack tuna cooked,212.936
salmon cooked,190.7
chum salmon cooked,139.8
american shad cooked,144.967
shark cooked,25.548
trout cooked,57.496
swordfish raw,43.072
rainbow trout cooked,22.557
fish sandwich with cheese,235
jellyfish dried,6.517
mullet raw,78.949
halibut cooked,78.934
lingcod raw,82.778
orange roughy cooked,10.146
cisco raw,26.367
florida pompano cooked,69.911
snapper raw,121.32
fish sandwich,109.3
haddock raw,53.952
ocean perch raw,28.835
cuttlefish cooked,66.521
cod cooked,70.534
seatrout raw,89.528
flounder raw,57.837
spot cooked,24.239
walleye pike cooked,209.213
perch raw,61.715
pumpkin seed sunfish raw,49.154
salt mackerel,151.025
mackerel cooked,51.733
tilapia cooked,37.9
drum raw,167.2
atlantic croaker fried,62.209
pumpkin seed sunfish cooked,48.674
wolffish raw,79.9
bluefin tuna cooked,72.4
scup cooked,39.718
herring cooked,158.304
bluefish raw,47.9
sheepshead cooked,121.48
bass cooked,84.379
pout cooked,98.207
chinook salmon raw,240.5
rockfish raw,65.002
tilefish raw,177.901
scup raw,103.111
sablefish cooked,252.4
tuna salad,112.727
coho salmon cooked,66.478
roe raw,9.553
sea bass raw,39.739
pink salmon cooked,69.873
sockeye salmon cooked,102.315
whitefish raw,101.603
greenland halibut cooked,130.404
northern pike cooked,319.506
salmon raw,186.3
turbot cooked,157.453
surimi,9.072
chinook salmon cooked,222.5
mullet cooked,58.866
chum salmon raw,1.025
butterfish raw,15.332
sea bass cooked,40.067
greenland halibut raw,130.06
halibut raw,110.481
sturgeon cooked,59.9
fish fillet fried,58.716
rainbow trout raw,43.047
pout raw,98.078
rainbow smelt cooked,29.428
monkfish raw,7.21
trout raw,57.297
shark raw,17.064
burbot raw,82.309
dolphinfish cooked,71.625
crayfish cooked,20.222
dolphinfish raw,72.1
perch cooked,60.112
cusk raw,37.228
bluefin tuna raw,10.8
milkfish cooked,28.341
carp raw,146.793
sturgeon raw,9.612
orange roughy raw,7.672
catfish fried,74.4
cuttlefish raw,33.734
bass raw,83.837
flounder cooked,22.622
milkfish raw,22.203
eel raw,109
catfish raw,46.7
fish sticks,14.563
coho salmon raw,67.308
monkfish cooked,9.165
yellowtail cooked,201.282
yellowfin tuna cooked,9.861
ling cooked,105.731
eel cooked,19.3
sablefish raw,251.3
salmon nuggets,13.6
yellowtail raw,204.5
butterfish cooked,15.35
caviar,53.325
pollock raw,312.275
catfish cooked,37.141
whiting raw,62.592
pink salmon raw,102.8
yellowfin tuna raw,8.322
mackerel raw,52.063
turbot raw,159.322
cusk cooked,37.306
atlantic croaker raw,28.709
sucker cooked,144.006
spot raw,24.113
drum cooked,166.292
crayfish raw,1.788
tilefish cooked,166.521
bluefish cooked,47.9
grouper cooked,97.6
sheepshead raw,104.93
herring kippered,49.314
grouper raw,125.1
ocean perch cooked,10.368
ling raw,104.862
lingcod cooked,128.139
florida pompano raw,56.69
rockfish cooked,35.955
seatrout cooked,90.142
sockeye salmon raw,148.1
swordfish cooked,34.203
american shad raw,144.868
sardine canned in oil,627.452
anchovy canned in oil,11.106
salmon canned,1020.882
sardines in tomato sauce canned,244.978
sockeye salmon canned,888.6
tuna canned,33.32
pink salmon canned,987.651
cod canned,143.814
eastern oyster canned,113.7
