food,Protein
cream cheese,0.9
neufchatel cheese,7.8
requeijao cremoso light catupiry,0.8
ricotta cheese,1.5
cream cheese low fat,1.2
cream cheese fat free,2.8
gruyere cheese,8.3
cheddar cheese,6.4
parmesan cheese,6.4
romano cheese,1.6
parmesan cheese grated,1.4
port salut cheese,31.4
swiss cheese,6.7
goat cheese hard,8.6
gouda cheese,7
pepper jack cheese lucerne,5
caraway cheese,7.1
gjetost cheese,21.9
tilsit cheese,9.8
goat cheese,6.1
brick cheese,7
asadero cheese,25.5
camembert cheese,5.9
provolone cheese reduced fat,27.9
roquefort cheese,18.3
queso blanco cheese,24
queso seco cheese,23.8
goat cheese soft,5.2
mozzarella cheese,6.7
chihuahua cheese,28.5
limburger cheese,6
muenster cheese,30.9
queso fresco cheese,22.1
brie cheese,6.2
pimento cheese,31
mexican cheese,27.7
feta cheese,4.3
mozzarella cheese fat free,35.8
provolone cheese,33.8
anejo cheese,28.3
honey,0.08
apple butter,0.045
fruit jam,0
chocolate hazelnut spread,1
peanut butter,3.3
peanut spread,3.8
chicken spread,10.1
cheese spread,17
tahini,2.7
orange marmalade,0.014
american cheese spread,2.6
apricot jam,0.1
chunky peanut butter,3.8
ham and cheese spread,2.4
chicken and rice casserole homade,2
picnic loaf,4.2
corn tamale,5.8
baked potato with cheese sauce bacon,18.4
chinese egg roll,7.4
butter croissant,4.7
enchilada with cheese beef,11.9
corned beef hash with potatoes,20.6
biscuit with egg cheese bacon,17.4
bagel with ham egg cheese,26.7
quesadilla with chicken,27.1
corn rice,1.8
kung pao chicken,59
beef empanada,10.1
frijoles with cheese,11.4
burrito with beef,9.1
crispy chicken sandwich,14.8
enchilada with cheese,15.4
pork egg roll,8.4
corn on the cob with butter,4.5
pancakes with butter syrup,4.1
burrito with beans,7
scrambled eggs,6.5
baked potato with sour cream,6.7
turkey and gravy,14.1
chicken egg roll,8.4
vegetable egg roll,5.2
ham cheese roll,3.8
biscuit with ham,13.4
lemon chicken,68.6
hummus,12
croissant with egg cheese,12.8
enchirito with cheese beef beans,17.9
sweet sour pork,1.2
crab cake,11.3
egg dinner roll,3.3
english muffin with egg cheese sausage,22.1
buttermilk pancakes,2.6
omelet,6.4
taco with chicken cheese lettuce,13
spinach souffle,10.7
english muffin with cheese sausage,14.3
potato gratin,12.4
biscuit with egg,17.4
french fries deep fried,2.4
sweet sour chicken,1.8
burrito with beans beef,27.8
nachos with cinnamon sugar,7.2
arroz con grandules,4
chili con carne,14.7
