food,Water
cream cheese,7.6
neufchatel cheese,53.6
requeijao cremoso light catupiry,0
ricotta cheese,14.7
cream cheese low fat,10
cream cheese fat free,12.9
gruyere cheese,9.3
cheddar cheese,10.3
parmesan cheese,5.4
romano cheese,1.5
parmesan cheese grated,1.1
port salut cheese,60
swiss cheese,9.4
goat cheese hard,8.2
gouda cheese,11.6
pepper jack cheese lucerne,0
caraway cheese,11.1
gjetost cheese,30.5
tilsit cheese,17.1
goat cheese,12.9
brick cheese,12.3
asadero cheese,47.6
camembert cheese,15.5
provolone cheese reduced fat,57.2
roquefort cheese,33.5
queso blanco cheese,57.5
queso seco cheese,40.9
goat cheese soft,17.2
mozzarella cheese,15
chihuahua cheese,51.7
limburger cheese,14.5
muenster cheese,55.1
queso fresco cheese,62.7
brie cheese,14.5
pimento cheese,54.7
mexican cheese,54
feta cheese,16.6
mozzarella cheese fat free,68
provolone cheese,54.1
anejo cheese,50.2
honey,3.6
apple butter,11.3
fruit jam,6.1
chocolate hazelnut spread,0.2
peanut butter,0.2
peanut spread,0.3
chicken spread,32.1
cheese spread,140.4
tahini,0.5
orange marmalade,6.6
american cheese spread,7.6
apricot jam,6.9
chunky peanut butter,0.2
ham and cheese spread,8.9
chicken and rice casserole homade,0
picnic loaf,16.9
corn tamale,101.8
baked potato with cheese sauce bacon,194.4
chinese egg roll,45
butter croissant,13.2
enchilada with cheese beef,128.4
corned beef hash with potatoes,166
biscuit with egg cheese bacon,62.3
bagel with ham egg cheese,88.7
quesadilla with chicken,76.7
corn rice,1.1
kung pao chicken,451.7
beef empanada,33.4
frijoles with cheese,115.4
burrito with beef,65.8
crispy chicken sandwich,57.9
enchilada with cheese,71.8
pork egg roll,43.6
corn on the cob with butter,105.2
pancakes with butter syrup,57.7
burrito with beans,57
scrambled eggs,31.3
baked potato with sour cream,209.7
turkey and gravy,204.2
chicken egg roll,43.3
vegetable egg roll,42.5
ham cheese roll,16.9
biscuit with ham,32.1
lemon chicken,363.6
hummus,159.6
croissant with egg cheese,57.7
enchirito with cheese beef beans,121
sweet sour pork,7.1
crab cake,32
egg dinner roll,10.6
english muffin with egg cheese sausage,80.6
buttermilk pancakes,20
omelet,46.4
taco with chicken cheese lettuce,57.3
spinach souffle,96.2
english muffin with cheese sausage,41
potato gratin,181.3
biscuit with egg,62.3
french fries deep fried,27.4
sweet sour chicken,9.5
burrito with beans beef,144.6
nachos with cinnamon sugar,1.1
arroz con grandules,67.7
chili con carne,191.5
arroz con abichuelas,105.6
biscuit with sausage,36.4
vegetarian stew,172.9
chicken sandwich with cheese,104.9
biscuit with egg steak,77.7
